호텔명,입실,퇴실,지역,숙박유형,별점,등급,가격
텐자 호텔 & 스카이스파 앳 삿포로 센트럴,2023-09-01,2023-09-02,삿포로,호텔,8.5,3성급,142712
오쿠조잔케이 온센 카쇼 교엔,2023-09-01,2023-09-02,삿포로,호텔,9.3,4성급,320698
이비스 스타일스 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.7,3성급,128293
APA 호텔 & 리조트 삿포로,2023-09-01,2023-09-02,삿포로,호텔,7.9,3성급,87466
퀸테사 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.5,3성급,113035
호텔 마이스테이스 삿포로 스스키노,2023-09-01,2023-09-02,삿포로,호텔,8.3,3성급,128441
센추리 로얄 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.0,4성급,159648
샬레 아이비 조잔케이,2023-09-01,2023-09-02,삿포로,호텔,9.8,4성급,604328
호텔 로얄 스테이 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.0,3성급,109694
네스트 호텔 삿포로 오도리,2023-09-01,2023-09-02,삿포로,호텔,7.5,3성급,225961
렘브란트 스타일 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.6,3성급,106452
호텔 루트 인 삿포로 주오,2023-09-01,2023-09-02,삿포로,호텔,7.7,3성급,115269
레지던스 호텔 스트립 삿포로,2023-09-01,2023-09-02,삿포로,호텔,7.5,3성급,169486
JR 인 삿포로-에키 미나미-구치,2023-09-01,2023-09-02,삿포로,호텔,8.3,3성급,127352
삿포로 프린스 호텔,2023-09-01,2023-09-02,삿포로,호텔,8.2,4성급,162773
호텔 마이스테이스 삿포로 나카지마 파크 아넥스,2023-09-01,2023-09-02,삿포로,호텔,7.9,2성급,134416
조잔케이 뷰 호텔,2023-09-01,2023-09-02,삿포로,호텔,7.1,3성급,100688
도미인 삿포로 아넥스,2023-09-01,2023-09-02,삿포로,호텔,8.4,3성급,120399
도큐스테이 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.7,3성급,113869
프리미어 호텔-캐빈-삿포로,2023-09-01,2023-09-02,삿포로,호텔,7.7,3성급,98487
호텔 WBF 포스테이 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.8,3성급,120821
호텔 리솔 트리니티 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.4,3성급,143617
센츄리온 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.4,3성급,169084
가든 캐빈,2023-09-01,2023-09-02,삿포로,호텔,8.4,2성급,47298
호텔 마이스테이스 삿포로 나카지마 파크,2023-09-01,2023-09-02,삿포로,호텔,8.3,3성급,95412
프리미어 호텔 -츠바키- 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.6,4성급,151367
삿포로 카네유테이 호텔 & 리조트,2023-09-01,2023-09-02,삿포로,호텔,8.3,2성급,44900
조잔케이 다이이치 호텔 스이잔테이,2023-09-01,2023-09-02,삿포로,호텔,8.5,4성급,168627
호텔 케이한 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.0,3성급,102918
호텔 리솔 삿포로 나카지마 고엔,2023-09-01,2023-09-02,삿포로,호텔,8.2,3성급,95178
호텔 시카노유,2023-09-01,2023-09-02,삿포로,호텔,7.6,3성급,123008
삿포로 도큐 레이 호텔,2023-09-01,2023-09-02,삿포로,호텔,7.8,3성급,136906
호텔 비스타 삿포로 오도리,2023-09-01,2023-09-02,삿포로,호텔,8.2,3성급,88805
료칸 조잔케이 온센 유큐 노 야도 시라이토,2023-09-01,2023-09-02,삿포로,호텔,평점없음,2성급,308526
고토니 그린 호텔,2023-09-01,2023-09-02,삿포로,호텔,8.3,3성급,117258
JR 인 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.0,3성급,133942
티마트 시티 호텔 삿포로 오도리,2023-09-01,2023-09-02,삿포로,호텔,8.7,3성급,70311
베셀 인 사포로 나카지마 파크,2023-09-01,2023-09-02,삿포로,호텔,8.7,3성급,167917
호텔 바란 자크 삿포로 S6,2023-09-01,2023-09-02,삿포로,호텔,8.0,3성급,135384
조잔케이 만세이카쿠 호텔 밀리오네,2023-09-01,2023-09-02,삿포로,호텔,7.3,3성급,117763
JR 인 삿포로 기타 2 조,2023-09-01,2023-09-02,삿포로,호텔,8.6,3성급,262676
테아텔 삿포로 스스키노,2023-09-01,2023-09-02,삿포로,호텔,8.0,2성급,36684
APA 호텔 삿포로 스스키노-에키니시,2023-09-01,2023-09-02,삿포로,호텔,7.6,3성급,97149
수이잔테이 클럽 조잔케이,2023-09-01,2023-09-02,삿포로,호텔,9.3,4성급,309665
삿포로 파크 호텔,2023-09-01,2023-09-02,삿포로,호텔,8.5,4성급,137550
호텔 라이브맥스 삿포로 에키마에,2023-09-01,2023-09-02,삿포로,호텔,6.5,2성급,151016
ANA 크라운 플라자 삿포로,2023-09-01,2023-09-02,삿포로,호텔,7.8,4성급,132436
APA 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,6.7,3성급,97179
란도르 레지던스 스스키노 스위츠,2023-09-01,2023-09-02,삿포로,호텔,5.2,3성급,501822
APA 호텔 삿포로 스스키노 에키마에,2023-09-01,2023-09-02,삿포로,호텔,7.7,3성급,102754
뉴 오타니 인 삿포로,2023-09-01,2023-09-02,삿포로,호텔,7.7,3성급,111152
리치몬드 호텔 삿포로 에키마에,2023-09-01,2023-09-02,삿포로,호텔,8.3,3성급,208683
호텔 선루트 삿포로,2023-09-01,2023-09-02,삿포로,호텔,7.4,3성급,163337
스마일 호텔 프리미엄 삿포로 스스키노,2023-09-01,2023-09-02,삿포로,호텔,8.2,3성급,96894
프레임 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,7.6,3성급,120324
호텔 라이브맥스 삿포로,2023-09-01,2023-09-02,삿포로,호텔,6.7,2성급,121184
삿포로 호텔 야마치,2023-09-01,2023-09-02,삿포로,호텔,9.0,3성급,97343
수퍼 호텔 삿포로-수수키노,2023-09-01,2023-09-02,삿포로,호텔,평점없음,3성급,179388
호텔 라이브맥스 삿포로 스스키노,2023-09-01,2023-09-02,삿포로,호텔,7.8,2성급,92963
호텔 홋케 클럽 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.2,3성급,126796
비즈니스 인 노르테,2023-09-01,2023-09-02,삿포로,호텔,7.5,3성급,92939
호텔 삿포로 가든 팰리스,2023-09-01,2023-09-02,삿포로,호텔,8.1,3성급,137964
APA 호텔 삿포로 스스키노,2023-09-01,2023-09-02,삿포로,호텔,8.7,3성급,126107
언윈드 호텔 & 바,2023-09-01,2023-09-02,삿포로,호텔,8.7,3성급,275455
빌라 코시도 고토니 아넥스,2023-09-01,2023-09-02,삿포로,호텔,8.3,3성급,95308
호텔 루트 인 삿포로 기타요조,2023-09-01,2023-09-02,삿포로,호텔,7.3,3성급,118831
JR 모바일 인 삿포로 고토니,2023-09-01,2023-09-02,삿포로,호텔,8.5,3성급,69244
게이오 플라자 호텔 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.6,4성급,178417
라젠트 스테이 삿포로 오도리 홋카이도,2023-09-02,2023-09-03,삿포로,호텔,8.7,3성급,145662
더 놋 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.7,3성급,225192
호텔 그레이스리 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.1,3성급,255508
JR 타워 호텔 닛코 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.8,4성급,335011
삿포로 그랜드 호텔,2023-09-02,2023-09-03,삿포로,호텔,8.3,4성급,205021
호텔 포르자 삿포르 스테이션,2023-09-02,2023-09-03,삿포로,호텔,9.3,3성급,195989
도큐 스테이 삿포로 오도리,2023-09-02,2023-09-03,삿포로,호텔,8.9,3성급,200732
네스트 호텔 삿포로 에키마에,2023-09-02,2023-09-03,삿포로,호텔,7.0,3성급,249791
미쓰이 가든 호텔 삿포로 웨스트,2023-09-02,2023-09-03,삿포로,호텔,8.8,3성급,272501
란도르 레지덴셜 호텔 삿포로 스위트,2023-09-02,2023-09-03,삿포로,호텔,8.5,3성급,248126
호텔 몬토레 에델호프 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.2,4성급,137761
프리미어 호텔 나카지마 파크 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.2,4성급,191266
퀸테사 호텔 삿포로 스스키노,2023-09-02,2023-09-03,삿포로,호텔,8.4,3성급,186988
카락사 호텔 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.7,3성급,249032
삿포로 엑셀 호텔 도큐,2023-09-02,2023-09-03,삿포로,호텔,8.4,4성급,136841
삿포로 뷰 호텔 우도리 코우엔,2023-09-02,2023-09-03,삿포로,호텔,8.1,4성급,105671
게이오 프렐리아 호텔 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.8,3성급,257127
크로스 호텔 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.6,4성급,196553
도미인 프리미엄 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.3,3성급,202777
호텔 WBF 삿포로 주오,2023-09-02,2023-09-03,삿포로,호텔,8.4,3성급,364935
미츠이 가든 호텔 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.2,3성급,162199
리치먼드 호텔 삿포로 오도리,2023-09-02,2023-09-03,삿포로,호텔,8.2,3성급,250700
호텔 마이스테이스 삿포로 아스펜,2023-09-02,2023-09-03,삿포로,호텔,8.3,4성급,235523
호텔 에미시아 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.1,4성급,315884
쇼게츠 그랜드 호텔,2023-09-02,2023-09-03,삿포로,호텔,8.7,4성급,221892
컴포트 호텔 삿포로 스스키노,2023-09-02,2023-09-03,삿포로,호텔,8.6,2성급,196591
오쿠조잔케이 온센 카쇼 교엔,2023-09-02,2023-09-03,삿포로,호텔,9.3,4성급,628925
APA 호텔 & 리조트 삿포로,2023-09-02,2023-09-03,삿포로,호텔,7.9,3성급,109737
퀸테사 호텔 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.5,3성급,134425
호텔 마이스테이스 삿포로 스스키노,2023-09-02,2023-09-03,삿포로,호텔,8.3,3성급,180001
센추리 로얄 호텔 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.0,4성급,145852
샬레 아이비 조잔케이,2023-09-02,2023-09-03,삿포로,호텔,9.8,4성급,808090
호텔 로얄 스테이 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.0,3성급,251148
네스트 호텔 삿포로 오도리,2023-09-02,2023-09-03,삿포로,호텔,7.5,3성급,319006
렘브란트 스타일 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.6,3성급,190193
호텔 루트 인 삿포로 주오,2023-09-02,2023-09-03,삿포로,호텔,7.7,3성급,184579
레지던스 호텔 스트립 삿포로,2023-09-02,2023-09-03,삿포로,호텔,7.5,3성급,236030
삿포로 프린스 호텔,2023-09-02,2023-09-03,삿포로,호텔,8.2,4성급,279276
호텔 마이스테이스 삿포로 나카지마 파크 아넥스,2023-09-02,2023-09-03,삿포로,호텔,7.9,2성급,183802
조잔케이 뷰 호텔,2023-09-02,2023-09-03,삿포로,호텔,7.1,3성급,103059
도미인 삿포로 아넥스,2023-09-02,2023-09-03,삿포로,호텔,8.4,3성급,130167
도큐스테이 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.7,3성급,189370
프리미어 호텔-캐빈-삿포로,2023-09-02,2023-09-03,삿포로,호텔,7.7,3성급,113936
호텔 WBF 포스테이 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.8,3성급,154682
호텔 리솔 트리니티 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.4,3성급,261311
센츄리온 호텔 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.4,3성급,210584
가든 캐빈,2023-09-02,2023-09-03,삿포로,호텔,8.4,2성급,97784
호텔 마이스테이스 삿포로 나카지마 파크,2023-09-02,2023-09-03,삿포로,호텔,8.3,3성급,138869
프리미어 호텔 -츠바키- 삿포로,2023-09-02,2023-09-03,삿포로,호텔,8.6,4성급,218610
삿포로 카네유테이 호텔 & 리조트,2023-09-02,2023-09-03,삿포로,호텔,8.3,2성급,59551
조잔케이 다이이치 호텔 스이잔테이,2023-09-02,2023-09-03,삿포로,호텔,8.5,4성급,269083
호텔 리솔 삿포로 나카지마 고엔,2023-09-02,2023-09-03,삿포로,호텔,8.2,3성급,108370
호텔 시카노유,2023-09-02,2023-09-03,삿포로,호텔,7.6,3성급,162147
삿포로 도큐 레이 호텔,2023-09-02,2023-09-03,삿포로,호텔,7.8,3성급,183606
호텔 비스타 삿포로 오도리,2023-09-02,2023-09-03,삿포로,호텔,8.2,3성급,196181
료칸 조잔케이 온센 유큐 노 야도 시라이토,2023-09-02,2023-09-03,삿포로,호텔,평점없음,2성급,390806
고토니 그린 호텔,2023-09-02,2023-09-03,삿포로,호텔,8.3,3성급,141683
호텔 바란 자크 삿포로 S6,2023-09-02,2023-09-03,삿포로,호텔,8.0,3성급,212876
조잔케이 만세이카쿠 호텔 밀리오네,2023-09-02,2023-09-03,삿포로,호텔,7.3,3성급,140767
테아텔 삿포로 스스키노,2023-09-02,2023-09-03,삿포로,호텔,8.0,2성급,94210
APA 호텔 삿포로 스스키노-에키니시,2023-09-02,2023-09-03,삿포로,호텔,7.6,3성급,151375
수이잔테이 클럽 조잔케이,2023-09-02,2023-09-03,삿포로,호텔,9.3,4성급,363156
삿포로 파크 호텔,2023-09-02,2023-09-03,삿포로,호텔,8.5,4성급,260370
호텔 라이브맥스 삿포로 에키마에,2023-09-02,2023-09-03,삿포로,호텔,6.5,2성급,157185
ANA 크라운 플라자 삿포로,2023-09-02,2023-09-03,삿포로,호텔,7.8,4성급,157365
APA 호텔 삿포로,2023-09-02,2023-09-03,삿포로,호텔,6.7,3성급,131712
란도르 레지던스 스스키노 스위츠,2023-09-02,2023-09-03,삿포로,호텔,5.2,3성급,539257
APA 호텔 삿포로 스스키노 에키마에,2023-09-02,2023-09-03,삿포로,호텔,7.7,3성급,154131
뉴 오타니 인 삿포로,2023-09-02,2023-09-03,삿포로,호텔,7.7,3성급,235477
리치몬드 호텔 삿포로 에키마에,2023-09-02,2023-09-03,삿포로,호텔,8.3,3성급,213174
호텔 라이브맥스 삿포로,2023-09-02,2023-09-03,삿포로,호텔,6.7,2성급,179639
APA 호텔 TKP 삿포로 에키마에,2023-09-02,2023-09-03,삿포로,호텔,7.4,3성급,164841
호텔 라이브맥스 삿포로 스스키노,2023-09-02,2023-09-03,삿포로,호텔,7.8,2성급,123559
레드 플래닛 삿포로 스스키노 사우스,2023-09-02,2023-09-03,삿포로,호텔,8.5,3성급,277557
언윈드 호텔 & 바,2023-09-02,2023-09-03,삿포로,호텔,8.7,3성급,269605
호텔 베가스 (성인 전용),2023-09-02,2023-09-03,삿포로,호텔,4.6,2성급,64113
빌라 코시도 고토니,2023-09-02,2023-09-03,삿포로,호텔,9.2,2성급,233843
Odori Koen Hotel,2023-09-02,2023-09-03,삿포로,호텔,평점없음,3성급,277674
APA 호텔 TKP 삿포로 에키키타 엑설런트,2023-09-02,2023-09-03,삿포로,호텔,7.5,3성급,156345
Experience Sapporo,2023-09-02,2023-09-03,삿포로,호텔,8.6,3성급,178596
스파 앤드 에스테틱 스이초칸 (여성 전용),2023-09-02,2023-09-03,삿포로,호텔,8.5,3성급,183031
게이오 플라자 호텔 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.6,4성급,100573
라젠트 스테이 삿포로 오도리 홋카이도,2023-09-03,2023-09-04,삿포로,호텔,8.7,3성급,103388
더 놋 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.7,3성급,103686
호텔 그레이스리 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.1,3성급,69636
JR 타워 호텔 닛코 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.8,4성급,205229
삿포로 그랜드 호텔,2023-09-03,2023-09-04,삿포로,호텔,8.3,4성급,76429
로이톤 삿포로 호텔,2023-09-03,2023-09-04,삿포로,호텔,8.0,4성급,98109
호텔 포르자 삿포르 스테이션,2023-09-03,2023-09-04,삿포로,호텔,9.3,3성급,64610
베스트 웨스턴 삿포로 오도리-코엔,2023-09-03,2023-09-04,삿포로,호텔,8.5,3성급,77585
도큐 스테이 삿포로 오도리,2023-09-03,2023-09-04,삿포로,호텔,8.9,3성급,88846
호텔 마이스테이스 삿포로 스테이션,2023-09-03,2023-09-04,삿포로,호텔,8.1,3성급,73668
네스트 호텔 삿포로 에키마에,2023-09-03,2023-09-04,삿포로,호텔,7.0,3성급,83399
미쓰이 가든 호텔 삿포로 웨스트,2023-09-03,2023-09-04,삿포로,호텔,8.8,3성급,126785
란도르 레지덴셜 호텔 삿포로 스위트,2023-09-03,2023-09-04,삿포로,호텔,8.5,3성급,114365
JR 이스트 호텔 멧츠 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.9,3성급,103942
호텔 몬토레 에델호프 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.2,4성급,108722
프리미어 호텔 나카지마 파크 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.2,4성급,78496
퀸테사 호텔 삿포로 스스키노,2023-09-03,2023-09-04,삿포로,호텔,8.4,3성급,58652
카락사 호텔 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.7,3성급,126513
삿포로 엑셀 호텔 도큐,2023-09-03,2023-09-04,삿포로,호텔,8.4,4성급,49824
삿포로 뷰 호텔 우도리 코우엔,2023-09-03,2023-09-04,삿포로,호텔,8.1,4성급,61773
게이오 프렐리아 호텔 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.8,3성급,118168
크로스 호텔 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.6,4성급,101224
도미인 프리미엄 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.3,3성급,92442
피노 호텔 삿포로 오도리,2023-09-03,2023-09-04,삿포로,호텔,8.4,2성급,62664
호텔 WBF 삿포로 주오,2023-09-03,2023-09-04,삿포로,호텔,8.4,3성급,67450
미츠이 가든 호텔 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.2,3성급,95097
리치먼드 호텔 삿포로 오도리,2023-09-03,2023-09-04,삿포로,호텔,8.2,3성급,71465
호텔 마이스테이스 삿포로 아스펜,2023-09-03,2023-09-04,삿포로,호텔,8.3,4성급,75342
베셀 호텔 캄파나 스스키노,2023-09-03,2023-09-04,삿포로,호텔,9.1,3성급,62574
호텔 에미시아 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.1,4성급,79955
호텔 마이스테이스 프리미어 삿포로 파크,2023-09-03,2023-09-04,삿포로,호텔,8.1,4성급,110502
쇼게츠 그랜드 호텔,2023-09-03,2023-09-04,삿포로,호텔,8.7,4성급,203778
컴포트 호텔 삿포로 스스키노,2023-09-03,2023-09-04,삿포로,호텔,8.6,2성급,52912
호텔 윙 인터내셔널 삿포로 스스키노,2023-09-03,2023-09-04,삿포로,호텔,8.5,3성급,62917
텐자 호텔 & 스카이스파 앳 삿포로 센트럴,2023-09-03,2023-09-04,삿포로,호텔,8.5,3성급,60549
호텔 네츠 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.6,3성급,49203
오쿠조잔케이 온센 카쇼 교엔,2023-09-03,2023-09-04,삿포로,호텔,9.3,4성급,364430
이비스 스타일스 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.7,3성급,64144
APA 호텔 & 리조트 삿포로,2023-09-03,2023-09-04,삿포로,호텔,7.9,3성급,43733
머큐어 호텔 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.4,4성급,106203
퀸테사 호텔 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.5,3성급,94161
호텔 마이스테이스 삿포로 스스키노,2023-09-03,2023-09-04,삿포로,호텔,8.3,3성급,58121
센추리 로얄 호텔 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.0,4성급,142920
샬레 아이비 조잔케이,2023-09-03,2023-09-04,삿포로,호텔,9.8,4성급,666626
다이와 로이넷 호텔 삿포로-스스키노,2023-09-03,2023-09-04,삿포로,호텔,8.4,3성급,71015
호텔 로얄 스테이 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.0,3성급,59640
네스트 호텔 삿포로 오도리,2023-09-03,2023-09-04,삿포로,호텔,7.5,3성급,94927
렘브란트 스타일 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.6,3성급,63063
호텔 루트 인 삿포로 주오,2023-09-03,2023-09-04,삿포로,호텔,7.7,3성급,67505
레지던스 호텔 스트립 삿포로,2023-09-03,2023-09-04,삿포로,호텔,7.5,3성급,39558
JR 인 삿포로-에키 미나미-구치,2023-09-03,2023-09-04,삿포로,호텔,8.3,3성급,66010
삿포로 프린스 호텔,2023-09-03,2023-09-04,삿포로,호텔,8.2,4성급,149597
호텔 마이스테이스 삿포로 나카지마 파크 아넥스,2023-09-03,2023-09-04,삿포로,호텔,7.9,2성급,55783
조잔케이 뷰 호텔,2023-09-03,2023-09-04,삿포로,호텔,7.1,3성급,156625
게이오 플라자 호텔 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.6,4성급,100573
라젠트 스테이 삿포로 오도리 홋카이도,2023-09-04,2023-09-05,삿포로,호텔,8.7,3성급,105864
더 놋 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.7,3성급,116723
호텔 그레이스리 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.1,3성급,65816
JR 타워 호텔 닛코 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.8,4성급,295501
삿포로 그랜드 호텔,2023-09-04,2023-09-05,삿포로,호텔,8.3,4성급,74632
로이톤 삿포로 호텔,2023-09-04,2023-09-05,삿포로,호텔,8.0,4성급,473100
호텔 포르자 삿포르 스테이션,2023-09-04,2023-09-05,삿포로,호텔,9.3,3성급,62063
베스트 웨스턴 삿포로 오도리-코엔,2023-09-04,2023-09-05,삿포로,호텔,8.5,3성급,77585
도큐 스테이 삿포로 오도리,2023-09-04,2023-09-05,삿포로,호텔,8.9,3성급,88962
호텔 마이스테이스 삿포로 스테이션,2023-09-04,2023-09-05,삿포로,호텔,8.1,3성급,71533
네스트 호텔 삿포로 에키마에,2023-09-04,2023-09-05,삿포로,호텔,7.0,3성급,85372
미쓰이 가든 호텔 삿포로 웨스트,2023-09-04,2023-09-05,삿포로,호텔,8.8,3성급,116727
란도르 레지덴셜 호텔 삿포로 스위트,2023-09-04,2023-09-05,삿포로,호텔,8.5,3성급,115526
JR 이스트 호텔 멧츠 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.9,3성급,85515
호텔 몬토레 에델호프 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.2,4성급,100296
프리미어 호텔 나카지마 파크 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.2,4성급,88566
퀸테사 호텔 삿포로 스스키노,2023-09-04,2023-09-05,삿포로,호텔,8.4,3성급,59536
카락사 호텔 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.7,3성급,126939
삿포로 엑셀 호텔 도큐,2023-09-04,2023-09-05,삿포로,호텔,8.4,4성급,71664
삿포로 뷰 호텔 우도리 코우엔,2023-09-04,2023-09-05,삿포로,호텔,8.1,4성급,69765
게이오 프렐리아 호텔 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.8,3성급,114185
크로스 호텔 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.6,4성급,107873
도미인 프리미엄 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.3,3성급,101389
피노 호텔 삿포로 오도리,2023-09-04,2023-09-05,삿포로,호텔,8.4,2성급,58930
페어필드 바이 메리어트 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.8,3성급,142538
호텔 WBF 삿포로 주오,2023-09-04,2023-09-05,삿포로,호텔,8.4,3성급,66321
미츠이 가든 호텔 삿포로,2023-09-04,2023-09-05,삿포로,호텔,8.2,3성급,95097
리치먼드 호텔 삿포로 오도리,2023-09-04,2023-09-05,삿포로,호텔,8.2,3성급,73186
호텔 마이스테이스 삿포로 아스펜,2023-09-04,2023-09-05,삿포로,호텔,8.3,4성급,86222
베셀 호텔 캄파나 스스키노,2023-09-04,2023-09-05,삿포로,호텔,9.1,3성급,77339
